시간,시가,고가,저가,종가,거래량,거래대금
"06/14,10:41","78,400","79,200","77,200","78,600","168,281","13,213,121,700"
"06/14,10:40","76,700","78,500","76,000","78,500","126,264","9,761,738,900"
"06/14,10:39","75,800","76,900","75,500","76,600","53,856","4,115,166,100"
"06/14,10:38","75,900","76,900","75,700","75,700","105,640","8,082,581,400"
"06/14,10:37","76,100","76,300","75,400","76,000","45,972","3,488,720,400"
"06/14,10:36","75,200","76,700","75,200","76,100","115,189","8,756,993,600"
"06/14,10:35","75,600","75,700","74,700","75,300","53,946","4,057,091,300"
"06/14,10:34","74,900","75,900","74,800","75,600","83,808","6,323,422,000"
"06/14,10:33","73,900","75,000","73,800","75,000","48,117","3,586,047,800"
"06/14,10:32","73,900","74,000","73,600","73,800","17,876","1,320,040,800"
"06/14,10:31","73,100","73,900","73,100","73,900","12,373","909,697,800"
"06/14,10:30","73,200","73,600","72,700","73,200","19,927","1,456,138,900"
"06/14,10:29","73,800","73,800","73,100","73,100","24,602","1,805,886,800"
"06/14,10:28","73,700","74,400","73,600","73,800","31,885","2,359,850,700"
"06/14,10:27","74,000","74,300","73,500","73,600","38,372","2,840,457,900"
"06/14,10:26","73,400","74,200","73,100","74,000","42,811","3,156,381,500"
"06/14,10:25","72,700","73,700","72,700","73,400","37,382","2,743,569,400"
"06/14,10:24","72,500","73,200","72,400","72,800","36,277","2,646,515,900"
"06/14,10:23","72,600","72,700","72,400","72,400","8,392","608,135,400"
"06/14,10:22","72,300","72,800","72,100","72,600","16,177","1,172,879,000"
"06/14,10:21","73,000","73,100","72,300","72,300","16,636","1,210,872,000"
"06/14,10:20","72,200","73,200","72,000","72,900","22,385","1,626,853,900"
"06/14,10:19","72,700","73,300","72,200","72,300","37,190","2,709,408,700"
"06/14,10:18","73,000","73,100","72,000","72,600","33,622","2,446,639,300"
"06/14,10:17","71,800","73,100","71,600","73,000","53,883","3,907,381,900"
"06/14,10:16","71,100","72,000","70,300","71,800","99,310","7,055,863,500"
"06/14,10:15","72,400","73,100","71,000","71,000","56,249","4,054,839,300"
"06/14,10:14","72,800","73,500","72,400","72,500","56,093","4,097,114,400"
"06/14,10:13","73,100","73,400","71,800","72,800","108,626","7,878,995,000"
"06/14,10:12","73,900","74,200","73,000","73,000","51,281","3,775,233,900"
"06/14,10:11","74,400","74,500","73,700","73,900","30,806","2,281,756,300"
"06/14,10:10","75,000","75,000","74,300","74,300","17,789","1,327,406,500"
"06/14,10:09","74,300","75,000","74,300","74,900","14,864","1,110,371,300"
"06/14,10:08","74,200","74,600","73,700","74,300","32,852","2,436,110,500"
"06/14,10:07","74,600","74,700","74,200","74,200","12,818","952,956,700"
"06/14,10:06","74,900","74,900","74,200","74,600","15,550","1,158,844,200"
"06/14,10:05","74,700","75,200","74,600","74,800","26,594","1,991,501,200"
"06/14,10:04","73,800","74,800","73,700","74,700","29,871","2,220,581,300"
"06/14,10:03","74,800","74,800","73,400","73,800","67,139","4,966,943,000"
"06/14,10:02","74,800","75,300","74,700","74,800","17,300","1,297,369,300"
"06/14,10:01","74,800","75,300","74,400","75,000","49,088","3,666,940,900"
"06/14,10:00","75,400","75,600","74,800","74,900","37,643","2,829,633,500"
"06/14,09:59","75,700","75,700","75,200","75,400","13,590","1,024,913,300"
"06/14,09:58","75,300","75,700","75,300","75,700","10,787","814,935,200"
"06/14,09:57","75,800","75,900","75,200","75,300","19,065","1,439,548,100"
"06/14,09:56","76,000","76,000","75,600","75,900","12,660","960,441,600"
"06/14,09:55","75,400","76,000","75,400","76,000","25,603","1,938,550,200"
"06/14,09:54","75,300","75,500","75,000","75,500","20,712","1,557,626,700"
"06/14,09:53","75,600","75,700","75,100","75,300","15,425","1,161,877,200"
"06/14,09:52","75,700","75,800","75,100","75,700","17,264","1,302,972,400"
"06/14,09:51","76,100","76,100","74,700","75,700","51,995","3,915,198,000"
"06/14,09:50","76,100","76,200","75,500","76,100","27,076","2,051,509,700"
"06/14,09:49","75,800","76,500","75,800","76,100","22,481","1,713,005,600"
